timestamp,t7,t8,pz,af3,af4
1740095734.7632,4231.795,4085.641,4212.821,4097.949,4211.282
1740095734.771,4264.615,4116.41,4230.256,4126.154,4218.974
1740095734.7787,4250.256,4148.718,4240.513,4153.333,4258.974
1740095734.7867,4262.564,4165.641,4227.692,4158.974,4275.385
1740095734.7947,4270.769,4150.256,4234.872,4149.744,4249.231
1740095734.8027,4237.949,4126.667,4234.359,4145.641,4247.692
1740095734.8107,4221.538,4106.154,4227.179,4130.769,4248.718
1740095734.8184,4209.231,4070.769,4223.077,4094.359,4202.051
1740095734.8262,4168.205,4044.103,4214.872,4066.154,4168.718
1740095734.834,4170.256,4052.821,4187.692,4060.513,4184.615
1740095734.8418,4221.538,4056.923,4174.359,4057.436,4174.872
1740095734.8498,4246.154,4045.641,4165.128,4055.897,4144.615
1740095734.8576,4254.359,4065.641,4149.231,4068.718,4171.795
1740095734.8655,4252.308,4087.179,4146.154,4083.59,4203.59
1740095734.8733,4242.051,4087.692,4146.667,4096.923,4186.667
1740095734.8813,4235.897,4090.769,4157.436,4105.641,4182.564
1740095734.8891,4242.051,4094.872,4165.641,4105.641,4216.923
1740095734.8971,4233.846,4084.103,4176.41,4086.667,4205.128
1740095734.9048,4227.692,4090.256,4165.641,4091.282,4182.564
1740095734.9128,4231.795,4102.051,4161.538,4115.385,4213.333
1740095734.9206,4237.949,4093.846,4150.769,4114.359,4228.718
1740095734.9286,4237.949,4082.564,4146.154,4102.051,4195.897
1740095734.9364,4229.744,4084.615,4140.513,4112.308,4190.769
1740095734.9443,4215.385,4095.897,4152.308,4120,4213.333
1740095734.9521,4213.333,4120,4159.487,4129.744,4228.205
1740095734.9601,4240,4140,4178.462,4144.615,4256.923
1740095734.9679,4248.205,4137.436,4209.744,4131.795,4260
1740095734.9759,4254.359,4132.821,4244.103,4130.256,4225.128
1740095734.9836,4272.821,4133.846,4254.872,4154.872,4216.41
1740095734.9916,4250.256,4121.026,4252.821,4138.974,4214.872
1740095734.9994,4211.282,4106.667,4247.179,4110.256,4192.821
1740095735.0074,4244.103,4113.846,4223.077,4133.333,4208.718
1740095735.0154,4246.154,4113.333,4192.308,4148.205,4238.462
1740095735.0231,4201.026,4101.538,4176.41,4130.769,4228.205
1740095735.0311,4217.436,4109.231,4173.333,4136.923,4221.538
1740095735.0391,4254.359,4136.41,4157.436,4161.026,4247.179
1740095735.0471,4240,4137.949,4180,4153.333,4253.846
1740095735.0551,4244.103,4135.897,4218.974,4151.795,4257.436
1740095735.063,4276.923,4149.231,4242.051,4173.333,4265.641
1740095735.0708,4278.974,4158.974,4242.051,4189.744,4275.385
1740095735.0786,4233.846,4142.564,4237.436,4184.615,4271.282
1740095735.0864,4188.718,4111.282,4196.923,4161.026,4230.256
1740095735.0942,4184.615,4102.564,4179.487,4140.513,4217.436
1740095735.1021,4178.462,4127.179,4174.359,4147.692,4267.692
1740095735.1101,4149.744,4147.692,4152.821,4160.513,4273.846
1740095735.1179,4184.615,4153.846,4147.179,4160.513,4241.026
1740095735.1259,4278.974,4171.795,4182.564,4169.231,4261.026
1740095735.1337,4344.615,4185.641,4206.667,4181.538,4276.923
1740095735.1414,4354.872,4178.462,4214.872,4177.436,4248.718
