timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095734.8655,neutral,0.05305,frown,0,neutral
1740095734.8971,neutral,0.05305,frown,0,neutral
1740095734.9286,neutral,0.05305,frown,0,neutral
1740095734.9601,neutral,0.05305,frown,0,neutral
1740095734.9916,neutral,0.046038,frown,0,neutral
1740095735.0231,neutral,0.046038,frown,0,neutral
1740095735.0551,neutral,0.046038,frown,0,neutral
1740095735.0864,neutral,0.046038,frown,0,neutral
1740095735.1179,neutral,0.058187,frown,0,neutral
1740095735.1492,neutral,0.058187,frown,0,neutral
1740095735.1807,neutral,0.058187,frown,0,neutral
1740095735.2125,neutral,0.058187,frown,0,neutral
1740095735.244,neutral,0.052797,frown,0,neutral
1740095735.2757,neutral,0.052797,frown,0,neutral
1740095735.3072,neutral,0.052797,frown,0,neutral
1740095735.3389,neutral,0.052797,frown,0,neutral
1740095735.3701,neutral,0.066931,frown,0,neutral
1740095735.4014,neutral,0.066931,frown,0,neutral
1740095735.4333,neutral,0.066931,frown,0,neutral
1740095735.4648,neutral,0.066931,frown,0,neutral
1740095735.4965,neutral,0.057625,frown,0,neutral
1740095735.5283,neutral,0.057625,frown,0,neutral
1740095735.5598,neutral,0.057625,frown,0,neutral
1740095735.5911,neutral,0.057625,frown,0,neutral
1740095735.6224,neutral,0.046481,frown,0,neutral
1740095735.6536,neutral,0.046481,frown,0,neutral
1740095735.6847,neutral,0.046481,frown,0,neutral
1740095735.716,neutral,0.046481,frown,0,neutral
1740095735.7475,neutral,0,neutral,0,neutral
1740095735.7788,neutral,0,neutral,0,neutral
1740095735.8104,blink,0,neutral,0,neutral
1740095735.8421,blink,0,neutral,0,neutral
1740095735.874,blink,0,neutral,0,neutral
1740095735.9055,blink,0,neutral,0,neutral
1740095735.9368,blink,0,neutral,0,neutral
1740095735.9686,neutral,0,neutral,0,neutral
1740095736.0001,neutral,0.080862,frown,0,neutral
1740095736.0314,neutral,0.080862,frown,0,neutral
1740095736.0627,neutral,0.080862,frown,0,neutral
1740095736.094,neutral,0.080862,frown,0,neutral
1740095736.1256,neutral,0.072902,frown,0,neutral
1740095736.1573,neutral,0.072902,frown,0,neutral
1740095736.1888,neutral,0.072902,frown,0,neutral
1740095736.2205,neutral,0.072902,frown,0,neutral
1740095736.2523,neutral,0.068326,frown,0,neutral
1740095736.2836,neutral,0.068326,frown,0,neutral
1740095736.3153,neutral,0.068326,frown,0,neutral
1740095736.3472,neutral,0.068326,frown,0,neutral
1740095736.3787,neutral,0.105348,frown,0,neutral
1740095736.4107,neutral,0.105348,frown,0,neutral
1740095736.4424,neutral,0.105348,frown,0,neutral
1740095736.4741,neutral,0.105348,frown,0,neutral
1740095736.506,neutral,0.452615,frown,0,neutral
1740095736.5374,blink,0.452615,frown,0,neutral
1740095736.5694,blink,0.452615,frown,0,neutral
1740095736.6005,blink,0.452615,frown,0,neutral
1740095736.6316,blink,0.356261,frown,0,neutral
1740095736.6631,blink,0.356261,frown,0,neutral
1740095736.6946,neutral,0.356261,frown,0,neutral
1740095736.7264,neutral,0.356261,frown,0,neutral
1740095736.7579,neutral,0.365901,frown,0,neutral
1740095736.7896,neutral,0.365901,frown,0,neutral
1740095736.8209,neutral,0.365901,frown,0,neutral
1740095736.8521,neutral,0.365901,frown,0,neutral
1740095736.8832,neutral,0.360816,frown,0,neutral
1740095736.9145,neutral,0.360816,frown,0,neutral
1740095736.9456,neutral,0.360816,frown,0,neutral
1740095736.9771,neutral,0.360816,frown,0,neutral
1740095737.0087,neutral,0.080335,frown,0,neutral
1740095737.0404,neutral,0.080335,frown,0,neutral
1740095737.0721,neutral,0.080335,frown,0,neutral
1740095737.1038,neutral,0.080335,frown,0,neutral
1740095737.1353,neutral,0.095502,frown,0,neutral
1740095737.1669,neutral,0.095502,frown,0,neutral
1740095737.1988,neutral,0.095502,frown,0,neutral
1740095737.2301,neutral,0.095502,frown,0,neutral
1740095737.2616,neutral,0.091589,frown,0,neutral
1740095737.2931,neutral,0.091589,frown,0,neutral
1740095737.3245,neutral,0.091589,frown,0,neutral
1740095737.3562,neutral,0.091589,frown,0,neutral
1740095737.3877,neutral,0.149491,frown,0,neutral
1740095737.4192,neutral,0.149491,frown,0,neutral
1740095737.4505,winkL,0.149491,frown,0,neutral
1740095737.4817,winkL,0.149491,frown,0,neutral
1740095737.5128,winkL,0.254786,frown,0,neutral
1740095737.5443,winkL,0.254786,frown,0,neutral
1740095737.5756,winkL,0.254786,frown,0,neutral
1740095737.6074,winkL,0.254786,frown,0,neutral
1740095737.6387,winkL,0.166992,frown,0,neutral
1740095737.6702,winkL,0.166992,frown,0,neutral
1740095737.7019,winkL,0.166992,frown,0,neutral
1740095737.7334,winkL,0.166992,frown,0,neutral
1740095737.7654,winkL,0.297249,frown,0,neutral
1740095737.7973,neutral,0.297249,frown,0,neutral
1740095737.8286,neutral,0.297249,frown,0,neutral
1740095737.8599,neutral,0.297249,frown,0,neutral
1740095737.8916,neutral,0.439661,frown,0,neutral
1740095737.923,neutral,0.439661,frown,0,neutral
1740095737.9547,neutral,0.439661,frown,0,neutral
1740095737.9862,blink,0.439661,frown,0,neutral
1740095738.0177,blink,0.584087,frown,0,neutral
1740095738.0492,blink,0.584087,frown,0,neutral
1740095738.081,blink,0.584087,frown,0,neutral
1740095738.1123,blink,0.584087,frown,0,neutral
1740095738.1434,neutral,0.759676,frown,0,neutral
1740095738.1745,neutral,0.759676,frown,0,neutral
1740095738.2063,neutral,0.759676,frown,0,neutral
1740095738.238,neutral,0.759676,frown,0,neutral
1740095738.2695,neutral,0.164756,frown,0,neutral
1740095738.3012,neutral,0.164756,frown,0,neutral
1740095738.3331,neutral,0.164756,frown,0,neutral
1740095738.3649,neutral,0.164756,frown,0,neutral
1740095738.3966,neutral,0.143131,frown,0,neutral
1740095738.4283,neutral,0.143131,frown,0,neutral
1740095738.4596,neutral,0.143131,frown,0,neutral
1740095738.4909,neutral,0.143131,frown,0,neutral
1740095738.5227,neutral,0.250384,frown,0,neutral
1740095738.5538,neutral,0.250384,frown,0,neutral
1740095738.5853,neutral,0.250384,frown,0,neutral
1740095738.6172,neutral,0.250384,frown,0,neutral
1740095738.6487,neutral,0.288067,frown,0,neutral
1740095738.6803,neutral,0.288067,frown,0,neutral
1740095738.7114,neutral,0.288067,frown,0,neutral
1740095738.7431,neutral,0.288067,frown,0,neutral
1740095738.7744,neutral,0.255108,frown,0,neutral
1740095738.8062,neutral,0.255108,frown,0,neutral
1740095738.8375,neutral,0.255108,frown,0,neutral
1740095738.8688,neutral,0.255108,frown,0,neutral
1740095738.9003,neutral,0.188174,frown,0,neutral
1740095738.932,neutral,0.188174,frown,0,neutral
1740095738.9636,neutral,0.188174,frown,0,neutral
1740095738.9951,neutral,0.188174,frown,0,neutral
1740095739.0268,neutral,0.072907,frown,0,neutral
1740095739.0581,neutral,0.072907,frown,0,neutral
1740095739.0894,neutral,0.072907,frown,0,neutral
1740095739.121,neutral,0.072907,frown,0,neutral
1740095739.1525,neutral,0.089187,frown,0,neutral
1740095739.184,neutral,0.089187,frown,0,neutral
1740095739.2157,neutral,0.089187,frown,0,neutral
1740095739.247,neutral,0.089187,frown,0,neutral
1740095739.2786,neutral,0.145366,frown,0,neutral
1740095739.3103,neutral,0.145366,frown,0,neutral
1740095739.3422,neutral,0.145366,frown,0,neutral
1740095739.3741,neutral,0.145366,frown,0,neutral
1740095739.4054,neutral,0.179769,frown,0,neutral
1740095739.4368,neutral,0.179769,frown,0,neutral
1740095739.4679,neutral,0.179769,frown,0,neutral
1740095739.4996,neutral,0.179769,frown,0,neutral
1740095739.5313,blink,0.206302,frown,0,neutral
1740095739.5629,blink,0.206302,frown,0,neutral
1740095739.5946,blink,0.206302,frown,0,neutral
1740095739.6259,blink,0.206302,frown,0,neutral
1740095739.6574,blink,0.075913,frown,0,neutral
1740095739.6887,neutral,0.075913,frown,0,neutral
1740095739.7203,neutral,0.075913,frown,0,neutral
1740095739.752,neutral,0.075913,frown,0,neutral
1740095739.7837,blink,0.01359,frown,0,neutral
1740095739.8152,blink,0.01359,frown,0,neutral
1740095739.8467,blink,0.01359,frown,0,neutral
1740095739.8785,blink,0.01359,frown,0,neutral
1740095739.91,blink,0.026101,frown,0,neutral
1740095739.9415,neutral,0.026101,frown,0,neutral
1740095739.9732,neutral,0.026101,frown,0,neutral
1740095740.0051,neutral,0.026101,frown,0,neutral
1740095740.0371,neutral,0.064843,frown,0,neutral
1740095740.069,neutral,0.064843,frown,0,neutral
1740095740.1005,neutral,0.064843,frown,0,neutral
1740095740.132,neutral,0.064843,frown,0,neutral
1740095740.1634,neutral,0.073054,frown,0,neutral
1740095740.1949,neutral,0.073054,frown,0,neutral
1740095740.2264,neutral,0.073054,frown,0,neutral
1740095740.2577,neutral,0.073054,frown,0,neutral
1740095740.2894,neutral,0.102786,frown,0,neutral
1740095740.3206,neutral,0.102786,frown,0,neutral
