timestamp,P,A,D
1740095734.8655,0.79,0.55,-0.27
1740095735.3701,0.73,0.61,-0.31
1740095735.874,0.71,0.62,-0.33
1740095736.3787,0.72,0.62,-0.33
1740095736.8832,0.72,0.62,-0.33
1740095737.3877,0.94,0.34,-0.07
1740095737.8916,0.72,0.61,-0.34
1740095738.3966,0.71,0.62,-0.35
1740095738.9003,0.72,0.62,-0.3
1740095739.4054,0.74,0.61,-0.27
1740095739.91,0.79,0.57,-0.22
1740095740.4153,0.79,0.57,-0.23
1740095740.9197,0.79,0.56,-0.26
1740095741.4246,0.77,0.57,-0.29
1740095741.9296,0.75,0.58,-0.31
1740095742.4336,0.75,0.58,-0.31
1740095742.9361,0.75,0.57,-0.33
1740095743.4392,0.77,0.55,-0.32
1740095743.9441,0.81,0.52,-0.28
1740095744.447,0.86,0.47,-0.23
1740095744.9516,0.86,0.47,-0.23
1740095745.4562,0.86,0.48,-0.19
1740095745.9602,0.86,0.49,-0.13
1740095746.4655,0.86,0.49,-0.12
1740095746.9689,0.86,0.48,-0.15
1740095747.4748,0.86,0.47,-0.19
1740095747.9793,0.86,0.46,-0.22
1740095748.4842,0.84,0.49,-0.25
1740095748.9886,0.83,0.5,-0.25
1740095749.4918,0.83,0.51,-0.23
1740095749.9969,0.82,0.52,-0.23
1740095750.5012,0.8,0.55,-0.25
1740095751.0056,0.79,0.56,-0.25
1740095751.5097,0.77,0.57,-0.3
1740095752.0152,0.76,0.56,-0.32
1740095752.52,0.77,0.55,-0.33
1740095753.0235,0.78,0.52,-0.34
1740095753.5273,0.8,0.51,-0.33
1740095754.0316,0.77,0.56,-0.31
1740095754.5367,0.74,0.59,-0.31
1740095755.0413,0.75,0.6,-0.28
1740095755.5466,0.75,0.6,-0.28
1740095756.0506,0.75,0.6,-0.28
1740095756.5554,0.73,0.61,-0.3
1740095757.0591,0.76,0.59,-0.28
1740095757.5637,0.77,0.56,-0.3
1740095758.0656,0.78,0.53,-0.34
1740095758.5704,0.8,0.51,-0.31
1740095759.0745,0.8,0.52,-0.31
1740095759.5786,0.82,0.51,-0.28
1740095760.0833,0.84,0.49,-0.23
1740095760.5883,0.85,0.51,-0.16
1740095761.092,0.86,0.5,-0.13
1740095761.5953,0.87,0.48,-0.11
1740095762.0998,0.87,0.49,-0.09
1740095762.6057,0.83,0.55,-0.11
1740095763.1086,0.8,0.58,-0.15
1740095763.6137,0.8,0.58,-0.15
1740095764.119,0.8,0.58,-0.16
1740095764.622,0.77,0.6,-0.21
1740095765.1283,0.78,0.59,-0.21
1740095765.633,0.78,0.58,-0.22
1740095766.1396,0.78,0.55,-0.29
1740095766.6439,0,0,0
1740095767.1478,0,0,0
1740095767.6516,0.78,0.54,-0.31
1740095768.1559,0.73,0.58,-0.36
1740095768.6607,0.74,0.58,-0.34
1740095769.166,0.74,0.59,-0.32
1740095769.6707,0.77,0.56,-0.3
1740095770.1731,0.79,0.55,-0.27
1740095770.6772,0.79,0.54,-0.28
1740095771.1815,0.8,0.53,-0.27
1740095771.6858,0.8,0.53,-0.29
1740095772.1909,0.76,0.56,-0.33
1740095772.6928,0,0,0
1740095773.1973,0.72,0.59,-0.37
1740095773.7002,0.71,0.59,-0.39
1740095774.2042,0.71,0.61,-0.36
1740095774.7095,0,0,0
1740095775.213,0.7,0.62,-0.36
1740095775.717,0.74,0.59,-0.33
1740095776.2212,0.75,0.59,-0.3
1740095776.7259,0.78,0.57,-0.27
1740095777.2294,0.84,0.5,-0.2
1740095777.7345,0.87,0.46,-0.18
1740095778.2388,0.88,0.44,-0.18
1740095778.7428,0,0,0
1740095779.2478,0.83,0.51,-0.21
1740095779.7525,0,0,0
1740095780.2556,0.83,0.52,-0.21
1740095780.7599,0.83,0.53,-0.16
1740095781.2641,0.83,0.53,-0.15
1740095781.7684,0.83,0.53,-0.15
1740095782.2737,0.83,0.54,-0.14
1740095782.7777,0.86,0.5,-0.09
1740095783.2816,0,0,0
1740095783.786,0.86,0.5,-0.09
1740095784.2922,0.8,0.57,-0.17
1740095784.7956,0.78,0.6,-0.19
1740095785.3001,0.78,0.6,-0.19
1740095785.8046,0.78,0.6,-0.17
1740095786.3084,0.78,0.6,-0.16
1740095786.8119,0.78,0.61,-0.15
1740095787.3148,0.74,0.65,-0.19
1740095787.8201,0.7,0.68,-0.24
1740095788.3237,0.67,0.69,-0.28
1740095788.8281,0.67,0.69,-0.28
1740095789.3323,0.69,0.67,-0.27
1740095789.8357,0.71,0.66,-0.23
1740095790.3419,0.72,0.66,-0.22
1740095790.8466,0.7,0.67,-0.25
1740095791.3509,0.69,0.66,-0.29
1740095791.8565,0.71,0.65,-0.28
1740095792.3604,0.72,0.64,-0.26
1740095792.8648,0.72,0.64,-0.26
1740095793.3699,0.71,0.65,-0.26
1740095793.8724,0.71,0.65,-0.27
1740095794.3782,0.71,0.65,-0.27
1740095794.8837,0.71,0.66,-0.27
1740095795.3882,0.71,0.65,-0.28
1740095795.8936,0.72,0.64,-0.27
1740095796.3973,0.73,0.64,-0.25
1740095796.9014,0.72,0.64,-0.25
1740095797.4052,0.73,0.64,-0.25
1740095797.9087,0.73,0.64,-0.25
1740095798.4135,0.73,0.63,-0.25
1740095798.9167,0.73,0.64,-0.24
1740095799.4213,0.74,0.63,-0.24
1740095799.9272,0.75,0.62,-0.23
1740095800.4315,0.75,0.61,-0.24
1740095800.9338,0.75,0.59,-0.3
1740095801.4395,0.74,0.58,-0.33
1740095801.9422,0.74,0.58,-0.33
1740095802.4471,0.76,0.57,-0.3
1740095802.9513,0.8,0.57,-0.22
1740095803.4551,0.84,0.53,-0.16
1740095803.9611,0.84,0.53,-0.14
1740095804.4654,0.85,0.52,-0.12
1740095804.9706,0.89,0.45,-0.1
1740095805.4741,0.87,0.47,-0.13
1740095805.9781,0.87,0.48,-0.14
1740095806.4826,0.88,0.46,-0.14
1740095806.9859,0.88,0.46,-0.13
1740095807.4899,0.9,0.43,-0.08
1740095807.9942,0.89,0.44,-0.08
1740095808.4987,0.89,0.45,-0.09
1740095809.0035,0.85,0.51,-0.14
1740095809.5066,0.84,0.52,-0.16
1740095810.0123,0.82,0.55,-0.18
1740095810.5172,0.83,0.54,-0.14
1740095811.0218,0.83,0.55,-0.13
1740095811.5252,0.82,0.55,-0.14
1740095812.0297,0.81,0.55,-0.2
1740095812.5354,0.8,0.56,-0.23
1740095813.0388,0.79,0.56,-0.26
1740095813.5437,0.75,0.58,-0.31
1740095814.0476,0.73,0.6,-0.34
1740095814.554,0.72,0.6,-0.35
1740095815.057,0.73,0.6,-0.32
1740095815.5619,0.74,0.61,-0.27
1740095816.0657,0.73,0.62,-0.28
1740095816.5697,0.73,0.63,-0.28
1740095817.0731,0.73,0.63,-0.28
1740095817.5782,0.71,0.64,-0.3
1740095818.0825,0.71,0.64,-0.3
1740095818.5893,0.7,0.64,-0.31
1740095819.0948,0.77,0.58,-0.24
1740095819.6012,0.85,0.5,-0.17
1740095820.1049,0.87,0.47,-0.14
1740095820.6118,0.89,0.44,-0.12
1740095821.117,0.93,0.37,-0.09
1740095821.6221,0.95,0.31,-0.07
1740095822.125,0.95,0.31,-0.08
1740095822.626,0.94,0.33,-0.09
1740095823.1272,0.94,0.34,-0.07
1740095823.6296,0.93,0.36,-0.05
1740095824.1339,0.93,0.37,-0.04
1740095824.638,0.9,0.43,-0.09
1740095825.1432,0.89,0.44,-0.09
1740095825.6477,0.88,0.46,-0.1
1740095826.1506,0.85,0.51,-0.12
1740095826.6562,0.83,0.54,-0.14
1740095827.1595,0.78,0.59,-0.2
1740095827.6633,0.72,0.65,-0.25
1740095828.1681,0.7,0.66,-0.27
1740095828.6714,0.71,0.66,-0.26
1740095829.1765,0.74,0.64,-0.2
1740095829.6819,0.75,0.63,-0.19
1740095830.1869,0.73,0.65,-0.19
1740095830.6911,0.74,0.64,-0.19
1740095831.1954,0.74,0.65,-0.19
1740095831.699,0.75,0.64,-0.18
1740095832.205,0.73,0.66,-0.18
1740095832.7081,0.75,0.64,-0.16
1740095833.214,0.76,0.63,-0.16
1740095833.7186,0.76,0.63,-0.16
1740095834.2207,0.74,0.65,-0.19
1740095834.7252,0.74,0.65,-0.2
1740095835.2294,0.77,0.61,-0.2
1740095835.7343,0.77,0.6,-0.22
1740095836.2397,0.77,0.6,-0.23
1740095836.7444,0.74,0.62,-0.25
1740095837.2483,0.74,0.61,-0.27
1740095837.7541,0.74,0.61,-0.27
1740095838.257,0.75,0.61,-0.26
1740095838.7621,0.76,0.6,-0.25
1740095839.2659,0.82,0.54,-0.2
1740095839.7706,0.87,0.46,-0.17
1740095840.2729,0.87,0.46,-0.17
1740095840.7787,0.86,0.5,-0.14
1740095841.2837,0.85,0.51,-0.11
1740095841.7869,0.87,0.49,-0.06
1740095842.2904,0.9,0.44,-0.02
1740095842.7945,0.91,0.41,0
1740095843.2979,0.91,0.41,-0.01
1740095843.8022,0.91,0.42,-0.03
1740095844.3058,0.86,0.5,-0.1
1740095844.8108,0.84,0.52,-0.13
1740095845.3161,0.79,0.59,-0.17
1740095845.8202,0.75,0.62,-0.23
1740095846.3241,0.75,0.61,-0.25
1740095846.8292,0.74,0.62,-0.26
1740095847.3335,0.75,0.61,-0.23
1740095847.8385,0.72,0.64,-0.25
1740095848.3424,0.73,0.64,-0.25
1740095848.8451,0.74,0.65,-0.2
1740095849.3507,0.74,0.64,-0.2
1740095849.8558,0.75,0.63,-0.19
1740095850.3605,0.79,0.58,-0.16
1740095850.8649,0.81,0.56,-0.19
1740095851.3676,0.81,0.54,-0.22
1740095851.8724,0.8,0.55,-0.23
1740095852.376,0.74,0.62,-0.27
1740095852.8803,0.74,0.62,-0.26
1740095853.3839,0.75,0.59,-0.31
1740095853.8894,0.77,0.56,-0.29
1740095854.3931,0.79,0.55,-0.27
1740095854.8973,0.8,0.55,-0.24
1740095855.4008,0.76,0.6,-0.24
1740095855.9065,0.77,0.61,-0.19
1740095856.4103,0.79,0.6,-0.15
1740095856.9138,0.78,0.61,-0.12
1740095857.4186,0.77,0.63,-0.14
1740095857.9228,0.77,0.61,-0.17
1740095858.4268,0.78,0.61,-0.17
1740095858.9315,0.77,0.6,-0.2
1740095859.4367,0.78,0.59,-0.21
1740095859.9407,0.82,0.54,-0.17
1740095860.4446,0.85,0.52,-0.11
1740095860.9486,0.85,0.52,-0.1
1740095861.4528,0.85,0.52,-0.09
1740095861.9568,0.83,0.55,-0.1
1740095862.462,0.81,0.57,-0.11
1740095862.9667,0.81,0.58,-0.1
1740095863.4722,0.81,0.58,-0.12
1740095863.9766,0.8,0.59,-0.15
1740095864.4803,0.8,0.59,-0.14
1740095864.9844,0.82,0.56,-0.09
1740095865.4906,0.89,0.45,0
1740095865.9957,0.94,0.35,0.06
1740095866.5001,0.95,0.3,0.09
1740095867.0046,0.97,0.24,0.1
1740095867.5087,0.98,0.18,0.09
1740095868.0126,0.98,0.18,0.08
1740095868.5166,0.96,0.27,0
1740095869.0193,0.93,0.37,-0.07
1740095869.5237,0.9,0.43,-0.08
1740095870.0276,0,0,0
1740095870.533,0,0,0
1740095871.0389,0,0,0
1740095871.5416,0,0,0
1740095872.0454,0,0,0
1740095872.5498,0.91,0.42,-0.08
1740095873.0551,0.9,0.42,-0.08
1740095873.5607,0.92,0.38,-0.14
1740095874.063,0.91,0.4,-0.15
1740095874.5685,0.91,0.41,-0.12
1740095875.0715,0.91,0.42,-0.08
