timestamp,t7,t8,pz,af3,af4
1740095389.7941,1476.923,4238.462,4129.231,4243.59,4281.538
1740095389.8021,3809.231,4236.923,4109.231,4272.308,4293.333
1740095389.8101,7284.103,4261.538,4145.641,4292.821,4313.846
1740095389.818,2514.872,4228.205,4141.026,4235.897,4271.282
1740095389.826,2278.974,4244.103,4140,4253.333,4296.923
1740095389.8338,7222.564,4299.487,4152.308,4332.308,4367.692
1740095389.8416,4131.282,4253.333,4144.103,4296.923,4322.564
1740095389.8494,1360,4230.769,4137.949,4274.872,4296.923
1740095389.8571,6455.385,4309.744,4164.103,4349.744,4373.846
1740095389.8651,5817.436,4325.128,4149.231,4354.872,4381.026
1740095389.8729,1083.077,4280,4153.333,4308.205,4337.949
1740095389.8809,4789.744,4293.333,4170.256,4319.487,4361.026
1740095389.8887,6896.41,4294.872,4161.538,4313.333,4361.026
1740095389.8966,1807.179,4291.795,4161.538,4320.513,4355.385
1740095389.9044,3364.103,4367.692,4195.897,4407.692,4429.744
1740095389.9124,7499.487,4377.949,4180.513,4409.744,4440
1740095389.9202,3103.59,4300.513,4148.718,4324.103,4361.026
1740095389.9282,1846.154,4310.256,4179.487,4331.282,4358.974
1740095389.9359,6894.359,4368.718,4210.256,4377.949,4404.103
1740095389.9439,4543.59,4333.333,4194.872,4333.846,4368.718
1740095389.9519,1040,4300.513,4176.41,4312.308,4342.051
1740095389.9599,5969.231,4332.821,4195.897,4343.59,4367.179
1740095389.9679,6441.026,4320.513,4183.59,4322.051,4356.41
1740095389.9758,1337.436,4261.538,4138.974,4275.385,4308.205
1740095389.9838,4168.205,4265.641,4108.205,4287.692,4309.744
1740095389.9918,6976.41,4277.949,4122.051,4295.385,4311.795
1740095389.9998,2114.872,4240,4131.282,4269.231,4273.333
1740095390.0076,2851.282,4252.821,4160,4280.513,4286.154
1740095390.0153,7460.513,4308.718,4178.974,4311.282,4341.026
1740095390.0233,3694.359,4274.359,4173.333,4282.564,4321.538
1740095390.0311,1657.436,4252.821,4168.205,4286.667,4307.692
1740095390.0389,6750.769,4322.564,4192.308,4350.769,4367.179
1740095390.0467,5181.538,4322.564,4185.128,4340.513,4367.179
1740095390.0544,953.846,4263.59,4148.205,4283.59,4314.872
1740095390.0622,5267.692,4277.949,4119.487,4296.41,4325.128
1740095390.07,6666.667,4273.333,4107.179,4298.462,4317.436
1740095390.0778,1563.077,4217.949,4133.846,4264.103,4263.59
1740095390.0856,3737.436,4265.128,4182.564,4302.564,4305.128
1740095390.0935,7280,4293.846,4179.487,4305.641,4335.385
1740095390.1013,2553.846,4231.282,4142.051,4258.974,4285.128
1740095390.1091,2196.923,4247.692,4169.231,4296.923,4309.744
1740095390.1171,7191.795,4314.872,4194.872,4343.077,4369.744
1740095390.1251,4196.923,4269.231,4175.897,4275.897,4305.128
1740095390.133,1292.308,4251.282,4150.769,4275.897,4285.128
1740095390.141,6408.205,4329.744,4162.564,4374.872,4382.564
1740095390.1488,5981.538,4311.795,4145.641,4363.077,4378.462
1740095390.1566,1105.641,4245.641,4127.692,4301.026,4304.103
1740095390.1646,4652.308,4296.923,4133.333,4348.205,4346.154
1740095390.1724,6996.923,4312.308,4150.256,4345.641,4363.077
1740095390.1804,1878.974,4219.487,4144.615,4237.949,4273.333
1740095390.1884,3130.256,4227.179,4163.59,4250.256,4275.897
1740095390.1964,7569.231,4294.359,4191.282,4329.231,4341.026
