timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095389.8966,blink,0,neutral,1,laugh
1740095389.9282,blink,0,neutral,1,laugh
1740095389.9599,blink,0,neutral,1,laugh
1740095389.9918,blink,0,neutral,1,laugh
1740095390.0233,neutral,0,neutral,1,laugh
1740095390.0544,neutral,0,neutral,1,laugh
1740095390.0856,neutral,0,neutral,1,laugh
1740095390.1171,neutral,0,neutral,1,laugh
1740095390.1488,neutral,0,neutral,1,laugh
1740095390.1804,neutral,0,neutral,1,laugh
1740095390.2121,neutral,0,neutral,1,laugh
1740095390.2439,neutral,0,neutral,1,laugh
1740095390.2758,neutral,0,neutral,1,laugh
1740095390.3073,neutral,0,neutral,1,laugh
1740095390.3386,neutral,0,neutral,1,laugh
1740095390.3698,neutral,0,neutral,1,laugh
1740095390.4009,neutral,0,neutral,1,laugh
1740095390.4326,neutral,0,neutral,1,laugh
1740095390.4639,neutral,0,neutral,1,laugh
1740095390.4956,neutral,0,neutral,1,laugh
1740095390.5274,neutral,0,neutral,1,laugh
1740095390.5591,neutral,0,neutral,1,laugh
1740095390.5908,neutral,0,neutral,1,laugh
1740095390.6219,neutral,0,neutral,1,laugh
1740095390.6532,neutral,0,neutral,1,laugh
1740095390.6844,neutral,0,neutral,1,laugh
1740095390.7155,neutral,0,neutral,1,laugh
1740095390.7472,blink,0,neutral,1,laugh
1740095390.7791,blink,0,neutral,1,laugh
1740095390.811,blink,0,neutral,1,laugh
1740095390.8428,blink,0,neutral,1,laugh
1740095390.8745,blink,0,neutral,1,laugh
1740095390.906,neutral,0,neutral,1,laugh
1740095390.9373,neutral,0,neutral,1,laugh
1740095390.9687,neutral,0,neutral,1,laugh
1740095390.9998,neutral,0,neutral,1,laugh
1740095391.0311,neutral,0,neutral,1,laugh
1740095391.063,neutral,0,neutral,1,laugh
1740095391.0949,neutral,0,neutral,1,laugh
1740095391.1269,neutral,0,neutral,1,laugh
1740095391.1584,neutral,0,neutral,1,laugh
1740095391.1899,neutral,0,neutral,1,laugh
1740095391.2216,neutral,0,neutral,1,laugh
1740095391.2533,neutral,0,neutral,1,laugh
1740095391.2849,neutral,0,neutral,1,laugh
1740095391.3162,neutral,0,neutral,1,laugh
1740095391.3477,neutral,0,neutral,1,laugh
1740095391.3792,neutral,0,neutral,1,laugh
1740095391.4105,neutral,0,neutral,1,laugh
1740095391.4425,neutral,0,neutral,1,laugh
1740095391.4742,neutral,0,neutral,1,laugh
1740095391.5057,neutral,0,neutral,1,laugh
1740095391.537,neutral,0,neutral,1,laugh
1740095391.5683,neutral,0,neutral,1,laugh
1740095391.5996,neutral,0,neutral,1,laugh
1740095391.6315,blink,0,neutral,1,laugh
1740095391.663,blink,0,neutral,1,laugh
1740095391.6943,blink,0,neutral,1,laugh
1740095391.7259,blink,0,neutral,1,laugh
1740095391.7578,blink,0,neutral,1,laugh
1740095391.7893,neutral,0,neutral,1,laugh
1740095391.8208,blink,0,neutral,1,laugh
1740095391.8521,blink,0,neutral,1,laugh
1740095391.8837,blink,0,neutral,1,laugh
1740095391.915,blink,0,neutral,1,laugh
1740095391.9463,blink,0,neutral,1,laugh
1740095391.9778,neutral,0,neutral,1,laugh
1740095392.0093,neutral,0,neutral,1,laugh
1740095392.0409,neutral,0,neutral,1,laugh
1740095392.0724,neutral,0,neutral,1,laugh
1740095392.1041,neutral,0,neutral,1,laugh
1740095392.1356,neutral,0,neutral,1,laugh
1740095392.1669,neutral,0,neutral,1,laugh
1740095392.1989,neutral,0,neutral,1,laugh
1740095392.2302,blink,0,neutral,1,laugh
1740095392.2615,blink,0,neutral,1,laugh
1740095392.293,blink,0,neutral,1,laugh
1740095392.3248,blink,0,neutral,1,laugh
1740095392.3563,blink,0,neutral,1,laugh
1740095392.3878,neutral,0,neutral,1,laugh
1740095392.4193,neutral,0,neutral,1,laugh
1740095392.4512,blink,0,neutral,1,laugh
1740095392.4826,blink,0,neutral,1,laugh
1740095392.5139,blink,0,neutral,1,laugh
1740095392.545,blink,0,neutral,1,laugh
1740095392.5765,blink,0,neutral,1,laugh
1740095392.608,neutral,0,neutral,1,laugh
1740095392.6394,neutral,0,neutral,1,laugh
1740095392.6711,neutral,0,neutral,1,laugh
1740095392.7028,neutral,0,neutral,1,laugh
1740095392.7347,neutral,0,neutral,1,laugh
1740095392.7666,neutral,0,neutral,1,laugh
1740095392.7986,neutral,0,neutral,1,laugh
1740095392.8297,neutral,0,neutral,1,laugh
1740095392.8608,blink,0,neutral,1,laugh
1740095392.8923,blink,0,neutral,1,laugh
1740095392.9237,blink,0,neutral,1,laugh
1740095392.955,blink,0,neutral,1,laugh
1740095392.9865,blink,0,neutral,1,laugh
1740095393.0182,neutral,0,neutral,1,laugh
1740095393.0501,neutral,0,neutral,1,laugh
1740095393.0817,neutral,0,neutral,1,laugh
1740095393.113,neutral,0,neutral,1,laugh
1740095393.1441,neutral,0,neutral,1,laugh
1740095393.1754,neutral,0,neutral,1,laugh
1740095393.2067,neutral,0,neutral,1,laugh
1740095393.2381,neutral,0,neutral,1,laugh
1740095393.2698,neutral,0,neutral,1,laugh
1740095393.3015,neutral,0,neutral,1,laugh
1740095393.3332,neutral,0,neutral,1,laugh
1740095393.3647,neutral,0,neutral,1,laugh
1740095393.3963,neutral,0,neutral,1,laugh
1740095393.4278,neutral,0,neutral,1,laugh
1740095393.4593,neutral,0,neutral,1,laugh
1740095393.4904,neutral,0,neutral,1,laugh
1740095393.522,blink,0,neutral,1,laugh
1740095393.5531,blink,0,neutral,1,laugh
1740095393.5848,blink,0,neutral,1,laugh
1740095393.6165,blink,0,neutral,1,laugh
1740095393.6482,blink,0,neutral,1,laugh
1740095393.6798,neutral,0,neutral,1,laugh
1740095393.7113,neutral,0,neutral,1,laugh
1740095393.7428,neutral,0,neutral,1,laugh
1740095393.7739,neutral,0,neutral,1,laugh
1740095393.805,neutral,0,neutral,1,laugh
1740095393.8368,neutral,0,neutral,1,laugh
1740095393.8687,neutral,0,neutral,1,laugh
1740095393.9006,neutral,0,neutral,1,laugh
1740095393.9323,neutral,0,neutral,1,laugh
1740095393.9638,neutral,0,neutral,1,laugh
1740095393.9956,neutral,0,neutral,1,laugh
1740095394.0269,neutral,0,neutral,1,laugh
1740095394.058,blink,0,neutral,1,laugh
1740095394.0895,blink,0,neutral,1,laugh
1740095394.1209,blink,0,neutral,1,laugh
1740095394.1522,blink,0,neutral,1,laugh
1740095394.1835,blink,0,neutral,1,laugh
1740095394.2154,neutral,0,neutral,1,laugh
1740095394.2469,neutral,0,neutral,1,laugh
1740095394.2785,neutral,0,neutral,1,laugh
1740095394.31,neutral,0,neutral,1,laugh
1740095394.3415,neutral,0,neutral,1,laugh
1740095394.373,neutral,0,neutral,1,laugh
1740095394.4043,neutral,0,neutral,1,laugh
1740095394.4361,neutral,0,neutral,1,laugh
1740095394.4674,neutral,0,neutral,1,laugh
1740095394.4987,neutral,0,neutral,1,laugh
1740095394.5302,neutral,0,neutral,1,laugh
1740095394.5615,neutral,0,neutral,1,laugh
1740095394.5931,neutral,0,neutral,1,laugh
1740095394.6246,neutral,0,neutral,1,laugh
1740095394.6561,neutral,0,neutral,1,laugh
1740095394.6872,neutral,0,neutral,1,laugh
1740095394.7186,neutral,0,neutral,1,laugh
1740095394.7501,neutral,0,neutral,1,laugh
1740095394.7812,neutral,0,neutral,1,laugh
1740095394.8129,neutral,0,neutral,1,laugh
1740095394.8448,neutral,0,neutral,1,laugh
1740095394.8766,neutral,0,neutral,1,laugh
1740095394.9081,neutral,0,neutral,1,laugh
1740095394.9398,neutral,0,neutral,1,laugh
1740095394.9713,neutral,0,neutral,1,laugh
1740095395.0026,neutral,0,neutral,1,laugh
1740095395.0338,neutral,0,neutral,1,laugh
1740095395.0655,neutral,0,neutral,1,laugh
1740095395.0968,neutral,0,neutral,1,laugh
1740095395.1285,neutral,0,neutral,1,laugh
1740095395.16,neutral,0,neutral,1,laugh
1740095395.1916,neutral,0,neutral,1,laugh
1740095395.2231,neutral,0,neutral,1,laugh
1740095395.2548,neutral,0,neutral,1,laugh
1740095395.2865,neutral,0,neutral,1,laugh
1740095395.3178,neutral,0,neutral,1,laugh
1740095395.349,neutral,0,neutral,1,laugh
1740095395.3801,neutral,0,neutral,1,laugh
1740095395.4114,neutral,0,neutral,1,laugh
1740095395.4431,blink,0,neutral,1,laugh
1740095395.4749,blink,0,neutral,1,laugh
1740095395.5064,blink,0,neutral,1,laugh
1740095395.5379,blink,0,neutral,1,laugh
1740095395.5696,blink,0,neutral,1,laugh
1740095395.6011,neutral,0,neutral,1,laugh
1740095395.6329,neutral,0,neutral,1,laugh
1740095395.6642,neutral,0,neutral,1,laugh
1740095395.6959,neutral,0,neutral,1,laugh
1740095395.7272,neutral,0,neutral,1,laugh
1740095395.7591,neutral,0,neutral,1,laugh
1740095395.7905,neutral,0,neutral,1,laugh
1740095395.8222,neutral,0,neutral,1,laugh
1740095395.8541,neutral,0,neutral,1,laugh
1740095395.8859,neutral,0,neutral,1,laugh
1740095395.9176,neutral,0,neutral,1,laugh
1740095395.9491,neutral,0,neutral,1,laugh
1740095395.9802,neutral,0,neutral,1,laugh
1740095396.0117,neutral,0,neutral,1,laugh
1740095396.043,neutral,0,neutral,1,laugh
1740095396.075,neutral,0,neutral,1,laugh
1740095396.1063,neutral,0,neutral,1,laugh
1740095396.1378,neutral,0,neutral,1,laugh
1740095396.1695,neutral,0,neutral,1,laugh
1740095396.2012,neutral,0,neutral,1,laugh
1740095396.2326,neutral,0,neutral,1,laugh
1740095396.2643,neutral,0,neutral,1,laugh
1740095396.2954,neutral,0,neutral,1,laugh
1740095396.3265,neutral,0,neutral,0.685786,laugh
1740095396.3582,neutral,0,neutral,0.685786,laugh
1740095396.3902,neutral,0,neutral,0.685786,laugh
1740095396.4221,neutral,0,neutral,0.685786,laugh
1740095396.4538,neutral,0,neutral,0.590341,laugh
1740095396.4853,neutral,0,neutral,0.590341,laugh
1740095396.5166,neutral,0,neutral,0.590341,laugh
1740095396.548,neutral,0,neutral,0.590341,laugh
1740095396.5795,neutral,0,neutral,0.585541,laugh
1740095396.6108,neutral,0,neutral,0.585541,laugh
1740095396.6419,neutral,0,neutral,0.585541,laugh
1740095396.6736,neutral,0,neutral,0.585541,laugh
1740095396.7054,neutral,0,neutral,1,laugh
1740095396.7371,neutral,0,neutral,1,laugh
1740095396.7688,neutral,0,neutral,1,laugh
1740095396.8005,neutral,0,neutral,1,laugh
1740095396.8319,neutral,0,neutral,1,laugh
1740095396.8632,neutral,0,neutral,1,laugh
1740095396.8943,neutral,0,neutral,1,laugh
1740095396.926,neutral,0,neutral,1,laugh
1740095396.9573,neutral,0,neutral,0.800139,laugh
1740095396.9891,neutral,0,neutral,0.800139,laugh
1740095397.0204,neutral,0,neutral,0.800139,laugh
1740095397.0521,neutral,0,neutral,0.800139,laugh
1740095397.0836,neutral,0,neutral,0.752609,laugh
1740095397.1151,neutral,0,neutral,0.752609,laugh
1740095397.1465,neutral,0,neutral,0.752609,laugh
1740095397.1776,neutral,0,neutral,0.752609,laugh
1740095397.2089,neutral,0,neutral,0.559445,laugh
1740095397.2402,neutral,0,neutral,0.559445,laugh
1740095397.2717,neutral,0,neutral,0.559445,laugh
1740095397.3037,neutral,0,neutral,0.559445,laugh
1740095397.3352,neutral,0,neutral,0.450261,laugh
1740095397.3669,neutral,0,neutral,0.450261,laugh
1740095397.3986,neutral,0,neutral,0.450261,laugh
1740095397.4304,neutral,0,neutral,0.450261,laugh
1740095397.4623,neutral,0,neutral,0.418205,laugh
1740095397.494,neutral,0,neutral,0.418205,laugh
1740095397.5253,neutral,0,neutral,0.418205,laugh
1740095397.5564,neutral,0,neutral,0.418205,laugh
1740095397.5878,neutral,0,neutral,0.432567,laugh
1740095397.6195,neutral,0,neutral,0.432567,laugh
1740095397.651,neutral,0,neutral,0.432567,laugh
1740095397.6827,neutral,0,neutral,0.432567,laugh
1740095397.7144,neutral,0,neutral,0.761024,laugh
1740095397.746,neutral,0,neutral,0.761024,laugh
1740095397.7775,neutral,0,neutral,0.761024,laugh
