timestamp,P,A,D
1740095389.8966,0.93,0.35,-0.15
1740095390.4009,0.92,0.35,-0.16
1740095390.906,0.92,0.36,-0.16
1740095391.4105,0.92,0.37,-0.14
1740095391.915,0.64,0.64,-0.42
1740095392.4193,0.64,0.65,-0.41
1740095392.9237,0.65,0.64,-0.41
1740095393.4278,0.65,0.65,-0.41
1740095393.9323,0.64,0.64,-0.42
1740095394.4361,0.68,0.61,-0.4
1740095394.9398,0.68,0.61,-0.4
1740095395.4431,0.69,0.6,-0.4
1740095395.9491,0.67,0.61,-0.42
1740095396.4538,0.94,0.31,-0.15
1740095396.9573,0.68,0.6,-0.43
1740095397.4623,0.68,0.59,-0.44
1740095397.9662,0.67,0.56,-0.48
1740095398.4695,0.66,0.57,-0.5
1740095398.9743,0.63,0.57,-0.53
1740095399.4784,0.63,0.57,-0.53
1740095399.9827,0.61,0.59,-0.53
1740095400.4873,0.6,0.6,-0.53
1740095400.9912,0.58,0.61,-0.54
1740095401.4961,0.58,0.6,-0.55
1740095402.0014,0.59,0.59,-0.55
1740095402.5046,0.59,0.59,-0.55
1740095403.0096,0.59,0.59,-0.55
1740095403.5127,0.61,0.59,-0.53
1740095404.0172,0.61,0.59,-0.53
1740095404.5224,0.61,0.59,-0.53
1740095405.0257,0.9,0.34,-0.25
1740095405.5306,0.91,0.35,-0.24
1740095406.0352,0.6,0.63,-0.49
1740095406.5405,0.6,0.65,-0.47
1740095407.045,0.6,0.65,-0.46
1740095407.5499,0.61,0.66,-0.44
1740095408.0538,0.64,0.64,-0.42
1740095408.5565,0.64,0.65,-0.41
1740095409.06,0.65,0.65,-0.39
1740095409.5659,0.65,0.65,-0.38
1740095410.0695,0.94,0.34,-0.08
1740095410.574,0.68,0.64,-0.36
1740095411.0779,0.68,0.64,-0.35
1740095411.5822,0.68,0.64,-0.35
1740095412.0864,0.7,0.62,-0.37
1740095412.5911,0.72,0.6,-0.35
1740095413.0954,0.72,0.6,-0.35
1740095413.6003,0.71,0.61,-0.35
1740095414.1051,0.66,0.64,-0.39
1740095414.61,0.66,0.64,-0.39
1740095415.1138,0.66,0.64,-0.4
1740095415.6162,0.67,0.62,-0.39
1740095416.1216,0.69,0.61,-0.38
1740095416.6255,0.69,0.63,-0.34
1740095417.1297,0.7,0.63,-0.33
1740095417.6349,0.68,0.64,-0.37
1740095418.1391,0.68,0.64,-0.37
1740095418.6434,0.67,0.64,-0.37
1740095419.1478,0.68,0.63,-0.36
1740095419.6519,0.71,0.62,-0.34
1740095420.1559,0.75,0.57,-0.34
1740095420.66,0.77,0.55,-0.33
1740095421.1647,0.77,0.54,-0.34
1740095421.6694,0.77,0.54,-0.35
1740095422.1732,0.85,0.46,-0.27
1740095422.6777,0.87,0.44,-0.24
