Timestamp,Level,Outcome,ExpectedSequence,UserSequence
1739955162,4,Success,349,349
1739955170,5,Success,1687,1687
1739955178,6,Success,71560,71560
1739955188,7,Success,410954,410954
1739955197,8,Success,7862393,7862393
1739955206,9,Success,28120321,28120321
1739955218,10,Success,624784581,624784581
1739955236,11,Success,4014402851,4014402851
1739955248,11,Fail,25784020122,4
1740095412,4,Success,945,945
1740095424,5,Success,4287,4287
1740095435,6,Success,82822,82822
1740095445,7,Success,211503,211503
1740095456,8,Success,3511145,3511145
1740095469,9,Success,04044791,04044791
1740095498,9,Fail,395913982,315982385
1740095511,10,Success,203052767,203052767
1740095537,10,Fail,4744059505,4744057595
1740095560,10,Fail,7035027732,7033203235
